date,revenue,orders,aov
2017-07-28,1580285.1599999988,141,11207.696170212757
2017-07-29,1224377.1900000004,125,9795.017520000003
2017-07-30,975432.42,119,8196.911092436974
2017-07-31,1377036.9899999986,150,9180.246599999991
2017-08-01,1727041.139999999,166,10403.862289156621
2017-08-02,1441333.9799999997,155,9298.928903225806
2017-08-03,1480810.5899999994,151,9806.692649006618
2017-08-04,1448373.0599999998,145,9988.77972413793
2017-08-05,962630.82,120,8021.9235
2017-08-06,1042536.2399999998,112,9308.359285714283
2017-08-07,1885773.7799999984,161,11712.880621118002
2017-08-08,1515354.839999999,154,9839.966493506487
2017-08-09,1626734.8799999992,150,10844.899199999994
2017-08-10,1603987.829999999,160,10024.923937499992
2017-08-11,1529851.5899999996,138,11085.881086956519
2017-08-12,1005154.3799999995,95,10580.572421052626
2017-08-13,989791.3799999998,92,10758.601956521738
2017-08-14,1456254.089999999,161,9045.056459627322
2017-08-15,1846149.0299999989,196,9419.127704081628
2017-08-16,1671173.999999999,182,9182.27472527472
2017-08-17,1434919.589999999,169,8490.648461538454
2017-08-18,1355251.41,149,9095.647046979866
2017-08-19,1033401.5999999999,112,9226.8
2017-08-20,1057134.4199999997,122,8665.036229508194
2017-08-21,1728292.6799999992,175,9875.958171428567
2017-08-22,1336554.7199999983,137,9755.873868613127
2017-08-23,1291075.379999999,118,10941.316779661009
2017-08-24,1061909.4599999997,127,8361.49181102362
2017-08-25,1168818.9300000002,124,9425.959112903227
2017-08-26,799356.5999999997,94,8503.793617021274
2017-08-27,1038312.4499999993,118,8799.258050847451
2017-08-28,1739912.399999999,156,11153.28461538461
2017-08-29,2686255.0199999963,149,18028.557181208027
2017-08-30,2355616.6199999982,179,13159.86938547485
2017-08-31,1642969.1699999985,156,10531.853653846145
2017-09-01,2234073.7799999975,158,14139.707468354414
2017-09-02,1460558.52,105,13910.081142857143
2017-09-03,2229337.799999999,127,17553.840944881882
2017-09-04,2003235.5699999987,151,13266.460728476812
2017-09-05,1676251.7099999976,158,10609.188037974669
2017-09-06,2029808.6999999979,144,14095.893749999985
2017-09-07,1372813.3799999997,106,12951.069622641506
2017-09-08,926720.9100000004,118,7853.567033898308
2017-09-09,1182835.71,109,10851.70376146789
2017-09-10,1392528.7799999996,139,10018.1926618705
2017-09-11,1895259.779999998,187,10135.079037433145
2017-09-12,2125674.809999997,212,10026.767971698098
2017-09-13,2209907.6999999983,213,10375.153521126753
2017-09-14,1793796.4799999995,172,10429.049302325579
2017-09-15,1457713.3499999992,149,9783.311073825498
