month,customer_state,revenue,orders
2018-08,es,1052610.5599999996,103
2018-08,am,24364.800000000003,4
2018-08,mt,295631.3599999999,39
2018-08,rn,335127.6799999999,20
2018-08,ap,12416.0,2
2018-08,sc,2062139.5200000007,201
2018-08,pb,490856.31999999995,28
2018-08,rj,5997311.999999999,723
2018-08,pe,744350.7199999994,83
2018-08,ma,265235.19999999995,29
2018-08,rs,2741806.8800000018,293
2018-08,to,123262.07999999999,13
2018-08,se,291714.55999999994,23
2018-08,ce,605250.5599999995,55
2018-08,al,144209.91999999995,16
2018-08,pi,186663.52000000002,20
2018-08,ro,178545.91999999998,8
2018-08,ac,28588.160000000007,3
